title,abstract,applicant,ipc,date
フレキシブルディスプレイ,量子ドットを用いた発光デバイスであって、インクジェット印刷による精密パターニングにより色再現性に優れた表示を可能にする。,シャープ株式会社,C09K 11/02; H10K 50/10; H01L 33/00,2022-09-23
発光素子の製造方法,有機エレクトロルミネッセンス表示装置に関する。インクジェット印刷による精密パターニングにより、高輝度かつ長寿命のディスプレイを実現する。,LG Display;BOE Technology,H10K 50/10,2023-03-14
フレキシブル発光デバイス,量子ドットを用いたディスプレイであって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,LG Display;サムスン電子,G09G 3/32; H10K 71/00,2024-04-10
医用画像の予測システム,医用画像の予測に関する。畳み込みニューラルネットワークを用いて超音波画像から肺結節を高精度で検出する。Attention機構の導入により,東京大学,A61B 6/03; G06N 3/08,2019-12-17
CT画像の自動予測方法,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いて内視鏡画像から網膜病変を高精度で検出する。転移学習により,国立がん研究センター;オリンパス株式会社,A61B 5/00,2022-04-26
ミリ波レーダーを用いた物体認識装置,車両の障害物検出装置であって、トランスフォーマーモデルを用いて周囲環境を認識し、安全な走行を支援する。,デンソー株式会社;Waymo,G05D 1/02,2023-10-20
自動運転車両の速度制御装置,ミリ波レーダーとカメラの融合データに基づく合流制御方法に関する。マルチモーダル融合により認識精度を向上させる。,Mobileye;Waymo,G06N 3/08; G06V 20/58; B60W 60/00,2019-08-04
解重合可能なポリアミドの合成,バイオマス原料から得られる高分子材料の合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,帝人株式会社,C08J 11/10; B29B 17/00,2023-09-17
太陽電池モジュール,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,Oxford PV;カネカ,H01L 31/0725,2019-01-28
自動運転制御システム,自動運転レベル5に対応する安全システムに関する。ミリ波レーダーデータをトランスフォーマーモデルで処理し、リアルタイムの経路計画を実現する。,トヨタ自動車株式会社;NVIDIA,G08G 1/16; G05D 1/02; G06V 20/58,2024-03-16
医療診断支援装置,CT画像における肺結節の自動予測システムに関する。YOLOを採用し、リアルタイム処理を実現する。,東京大学;GEヘルスケア,G16H 30/40; G06N 3/08; G06T 7/00,2023-05-13
有機ELディスプレイ,量子ドットを用いた発光素子であって、電荷輸送層のバンド構造制御により色再現性に優れた表示を可能にする。,ソニー株式会社,G09G 3/32; C09K 11/02,2020-03-27
セルロースナノファイバーバリアフィルム,セルロースナノファイバーを接着剤組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。熱膨張係数がガラスと同等まで低減される,大日本印刷株式会社,D21H 11/18; C08L 1/02; B29C 70/00,2021-09-14
CNF分散ポリマー複合材料の調製方法,化学修飾したセルロースナノファイバーを含有するコーティング材に関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、軽量化を実現する。,花王株式会社,C08J 5/18,2022-04-04
医療診断支援装置,内視鏡画像における骨折の自動予測システムに関する。ResNetを採用し、リアルタイム処理を実現する。,国立がん研究センター;オリンパス株式会社,G06T 7/00; G16H 30/40; A61B 6/03,2020-09-13
マイクロLED発光素子,量子ドットを用いた発光デバイスであって、インクジェット印刷による精密パターニングにより色再現性に優れた表示を可能にする。,サムスン電子,H10K 71/00; H01L 33/00; G09G 3/32,2022-09-13
機械学習による肺結節予測方法,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いてX線画像から骨折を高精度で検出する。転移学習により,国立がん研究センター,A61B 5/00; G16H 30/40,2024-10-02
解重合可能なポリエステルの合成,解重合可能なエポキシ樹脂に関する。分子鎖中に動的共有結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型ポリエステルを実現する。,三菱ケミカル株式会社;住友化学株式会社,B29B 17/00,2020-10-24
自動運転車両の障害物検出装置,自動運転レベル4に対応する通信システムに関する。LiDARデータをカルマンフィルタで処理し、リアルタイムの歩行者予測を実現する。,トヨタ自動車株式会社,G05D 1/02,2022-02-15
太陽電池セルの製造方法,太陽電池セルの製造方法であって、スプレー成膜を用いて大面積化と高効率化の両立を実現する。,理化学研究所;東京大学,H10K 30/30,2024-06-22
CNF含有ポリマー複合材料の製造方法,セルロースナノファイバーを樹脂組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。熱膨張係数がガラスと同等まで低減される,日本製紙株式会社;東レ株式会社,B29C 70/00; D21H 11/18,2020-12-23
リサイクル可能なポリアミド,バイオマス原料から得られる高分子材料の合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,帝人株式会社;三菱ケミカル株式会社,C12P 7/62; B29B 17/00; C08L 67/02,2022-09-07
ミリ波レーダーを用いた物体認識装置,自動運転レベル3に対応する通信システムに関する。超音波センサデータを強化学習で処理し、リアルタイムの経路計画を実現する。,Waymo;トヨタ自動車株式会社,G06V 20/58,2020-11-10
循環型ポリアミド,バイオマス原料から得られるポリエステルの合成方法に関する。バイオマスの前処理技術の改良により環境負荷の低い材料を提供する。,ダイセル;BASF,C08G 63/183,2020-04-02
ディスプレイの製造方法,量子ドットを用いた発光デバイスであって、発光層の膜厚最適化により色再現性に優れた表示を可能にする。,住友化学株式会社;シャープ株式会社,H10K 50/10; H10K 71/00,2019-07-23
セルロースナノファイバー構造部材,セルロースナノファイバーをフィルム中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。酸素透過度が10cc/m2/day以下となる,大日本印刷株式会社,B29C 70/00; C08L 1/02; C08J 5/04,2023-12-08
高解像度表示パネルの駆動回路,量子ドットを用いた発光素子であって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,JDI;BOE Technology,H10K 50/10,2024-10-08
フレキシブル表示パネル,マイクロLEDを画素として用いた発光素子の製造方法に関する。塗布法により高精細な表示装置を得る。,JDI,C09K 11/02; G09G 3/32,2023-07-27
リサイクル可能なエポキシ樹脂,廃高分子材料のケミカルリサイクル方法であって、イオン液体を用いた酵素分解により高純度のモノマーを回収する。,三菱ケミカル株式会社;旭化成株式会社,C08G 63/183; B29B 17/00,2023-11-16
廃高分子材料の再資源化方法,バイオマス原料から得られるエポキシ樹脂の合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,旭化成株式会社;BASF,C08J 11/10,2021-09-28
修飾セルロースナノファイバーを用いた増粘剤,水系分散したセルロースナノファイバーを用いたバリアフィルムの製造方法であって、乾燥工程における収縮を制御することにより均質な断熱材を得る。,大日本印刷株式会社,C08J 5/18; C08L 1/02,2022-06-22
フレキシブル発光デバイス,量子ドットを用いた表示パネルであって、発光層の膜厚最適化により色再現性に優れた表示を可能にする。,京セラ株式会社;シャープ株式会社,C09K 11/02,2020-10-17
セルロースナノファイバー強化ポリマー複合材料,水系分散したセルロースナノファイバーを用いた透明フィルムの製造方法であって、乾燥工程における収縮を制御することにより均質な構造部材を得る。,旭化成株式会社,C08L 1/02,2021-06-26
フレキシブル発光デバイス,量子ドットを用いた表示パネルであって、電荷輸送層のバンド構造制御により色再現性に優れた表示を可能にする。,LG Display,G09G 3/32; C09K 11/02,2023-07-25
ペロブスカイト太陽電池,ペロブスカイト光電変換素子に関する。界面欠陥の低減により光電変換効率を向上させ、低コストでの製造を可能にする。,京都大学;積水化学工業株式会社,H10K 30/30; H01L 31/18,2019-11-27
CNF含有フィルムの製造方法,化学修飾したセルロースナノファイバーを含有するポリマー複合材料に関する。ナノファイバーの表面処理によりポリマー複合材料との親和性を向上させ、高バリア性を実現する。,旭化成株式会社,C08J 5/18,2020-04-27
医用画像の分類システム,深層学習モデルによる肺結節の診断支援方法であって、マルチスケール特徴抽出により少量の教師データでも高い診断精度を達成する。,キヤノン株式会社,A61B 5/00; A61B 6/03; G16H 30/40,2020-11-02
車両の車線維持方法,LiDARとカメラの融合データに基づく合流制御方法に関する。点群データの意味分割により認識精度を向上させる。,日立Astemo;Mobileye,G06V 20/58,2020-10-11
電解質を備えた二次電池,リチウムイオン二次電池の正極材料に関する。ニッケルリッチ層状酸化物の表面コーティングにより、高容量かつ長サイクル寿命を実現する。,Samsung SDI,H01M 10/052; C01G 53/00,2019-03-09
ロボットの車線維持システム,自動運転レベル5に対応する通信システムに関する。ステレオカメラデータをディープラーニングで処理し、リアルタイムの障害物検出を実現する。,日立Astemo,G08G 1/16; G05D 1/02,2021-12-19
マイクロLEDディスプレイ,量子ドットを用いた表示パネルであって、インクジェット印刷による精密パターニングにより色再現性に優れた表示を可能にする。,LG Display;BOE Technology,C09K 11/02; H10K 71/00; H01L 33/00,2021-02-06
フレキシブル太陽電池セル,ペロブスカイト光電変換素子に関する。組成勾配構造の導入により光電変換効率を向上させ、低コストでの製造を可能にする。,積水化学工業株式会社;First Solar,H10K 30/50; H01L 31/0725,2023-05-01
機械学習による腫瘍予測方法,深層学習モデルによる網膜病変の分類方法であって、転移学習により少量の教師データでも高い診断精度を達成する。,富士フイルム株式会社;オリンパス株式会社,G06N 3/08,2024-04-22
機械学習による心電図異常予測方法,超音波画像における肺結節の自動予測システムに関する。Vision Transformerを採用し、リアルタイム処理を実現する。,国立がん研究センター,G06N 3/08; A61B 6/03; G06T 7/00,2022-09-07
自動運転通信システム,車両の経路計画装置であって、強化学習を用いて周囲環境を認識し、安全な走行を支援する。,Waymo,G05D 1/02; G08G 1/16; G06V 20/58,2019-12-01
リサイクル可能なプラスチック,バイオマス原料から得られるポリエステルの合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,帝人株式会社;住友化学株式会社,B29B 17/00; C08G 63/183,2020-02-10
集電体を備えた二次電池,全固体電池における負極材料の新規構成に関する。界面抵抗を低減し、充放電効率99.5%以上を達成する。,CATL;Samsung SDI,H01M 50/40; H01M 10/052,2022-01-05
自動運転安全システム,自動運転レベル4に対応するセンシングシステムに関する。ステレオカメラデータをディープラーニングで処理し、リアルタイムの速度制御を実現する。,Mobileye,B60W 60/00; G08G 1/16; G06V 20/58,2023-08-28
タンデム型太陽電池,光電変換素子の製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,東京大学,H10K 30/50; H01L 31/18; H10K 30/30,2019-06-08
タンデム型光電変換素子,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により低照度での発電効率改善を達成する。,理化学研究所,H10K 30/30,2024-08-25
有機EL表示パネル,有機エレクトロルミネッセンスディスプレイに関する。量子ドットのサイズ均一性向上により、高輝度かつ長寿命の表示パネルを実現する。,ソニー株式会社;シャープ株式会社,C09K 11/02,2023-04-12
マイクロLEDディスプレイ,マイクロLEDを画素として用いた表示装置の製造方法に関する。蒸着法により高精細な表示装置を得る。,ソニー株式会社;サムスン電子,H10K 71/00; C09K 11/02,2024-12-21
タンデム型太陽電池,光電変換素子の製造方法であって、蒸着法を用いて大面積化と高効率化の両立を実現する。,パナソニック株式会社;京都大学,H10K 30/50; H01L 31/18; H01L 31/0725,2019-03-25
マイクロLED発光デバイス,量子ドットを用いた発光素子であって、電荷輸送層のバンド構造制御により色再現性に優れた表示を可能にする。,BOE Technology;LG Display,C09K 11/02; H01L 33/00,2023-06-17
ペロブスカイト太陽電池セル,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,パナソニック株式会社;Oxford PV,H10K 30/50,2020-06-14
車両の車線維持方法,ミリ波レーダーとカメラの融合データに基づく車線維持方法に関する。マルチモーダル融合により認識精度を向上させる。,NVIDIA;Mobileye,G06N 3/08,2020-03-01
運転支援制御システム,ミリ波レーダーとカメラの融合データに基づく経路計画方法に関する。時系列予測による行動推定により認識精度を向上させる。,Waymo;NVIDIA,G08G 1/16,2024-08-17
CNF分散樹脂組成物の調製方法,セルロースナノファイバーを樹脂組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。ヘイズ値が1%以下の高透明性を示す,花王株式会社;大王製紙株式会社,C08J 5/04,2021-12-10
医用画像の予測システム,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いて内視鏡画像から肺結節を高精度で検出する。Attention機構の導入により,GEヘルスケア,A61B 6/03; A61B 5/00; G16H 30/40,2024-09-14
ロボットの歩行者予測システム,車両の歩行者予測装置であって、ディープラーニングを用いて周囲環境を認識し、安全な走行を支援する。,Mobileye,G08G 1/16; G06N 3/08; G06V 20/58,2022-06-19
超音波センサを用いた物体認識装置,車両の障害物検出装置であって、ディープラーニングを用いて周囲環境を認識し、安全な走行を支援する。,Waymo,G05D 1/02; G08G 1/16,2020-09-10
医用画像のセグメンテーションシステム,X線画像における心電図異常の自動分類システムに関する。Vision Transformerを採用し、リアルタイム処理を実現する。,国立がん研究センター;東京大学,G06T 7/00,2024-04-15
リサイクル可能なエポキシ樹脂,解重合可能な高分子材料に関する。分子鎖中に刺激応答性結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型エポキシ樹脂を実現する。,東洋紡株式会社,B29B 17/00,2020-07-22
機械学習による心電図異常予測方法,深層学習モデルによる心電図異常の分類方法であって、データ拡張と半教師あり学習を組み合わせることで少量の教師データでも高い診断精度を達成する。,東京大学,G06N 3/08; G16H 30/40,2023-09-06
太陽電池セルの製造方法,太陽電池の製造方法であって、スプレー成膜を用いて大面積化と高効率化の両立を実現する。,カネカ,H01L 31/18,2024-09-05
機械学習による網膜病変予測方法,医用画像の自動解析に関する。畳み込みニューラルネットワークを用いてMRI画像から肺結節を高精度で検出する。Attention機構の導入により,富士フイルム株式会社,G06N 3/08,2023-10-02
高解像度表示パネルの駆動回路,量子ドットを用いた表示パネルであって、発光層の膜厚最適化により色再現性に優れた表示を可能にする。,サムスン電子,G09G 3/32; C09K 11/02,2022-04-11
負極材料を備えた二次電池,二次電池用負極材料の製造方法であって、共沈法により均質な負極材料を得る方法を提供する。,CATL;LG Energy Solution,C01G 53/00; H01M 50/40; H01M 10/0562,2023-11-21
表示パネルの製造方法,マイクロLEDを画素として用いたディスプレイの製造方法に関する。転写法により高精細な表示パネルを得る。,住友化学株式会社;LG Display,H01L 33/00; H10K 71/00; H10K 50/10,2024-09-16
医療診断支援装置,深層学習モデルによる腫瘍のセグメンテーション方法であって、転移学習により少量の教師データでも高い診断精度を達成する。,GEヘルスケア;シーメンス,G16H 30/40; A61B 5/00; G06N 3/08,2024-09-26
ロボットの合流制御システム,車両の歩行者予測装置であって、ディープラーニングを用いて周囲環境を認識し、安全な走行を支援する。,NVIDIA,B60W 60/00; G06N 3/08; G05D 1/02,2024-04-07
機械学習による網膜病変予測方法,医用画像の予測に関する。畳み込みニューラルネットワークを用いてCT画像から腫瘍を高精度で検出する。Attention機構の導入により,シーメンス,G06T 7/00; G16H 30/40; G06N 3/08,2023-03-11
自動運転安全システム,ミリ波レーダーとカメラの融合データに基づく経路計画方法に関する。注意機構による特徴量統合により認識精度を向上させる。,ホンダ技研工業株式会社;日産自動車株式会社,G06V 20/58,2020-01-14
運転支援安全システム,自動運転レベル4に対応する制御システムに関する。ミリ波レーダーデータを強化学習で処理し、リアルタイムの合流制御を実現する。,NVIDIA;Mobileye,G06N 3/08,2022-06-16
車両の歩行者予測方法,車両の合流制御装置であって、強化学習を用いて周囲環境を認識し、安全な走行を支援する。,ホンダ技研工業株式会社,G05D 1/02; B60W 60/00; G08G 1/16,2019-03-20
全固体電池の製造方法,リチウムイオン二次電池の正極材料に関する。ドライプロセスによる電極形成により、高容量かつ長サイクル寿命を実現する。,TDK株式会社,H01M 10/052; H01M 10/0562; C01G 53/00,2019-10-12
ロボットの合流制御システム,車両の速度制御装置であって、ディープラーニングを用いて周囲環境を認識し、安全な走行を支援する。,ホンダ技研工業株式会社;デンソー株式会社,B60W 60/00,2023-05-06
自動運転安全システム,超音波センサとカメラの融合データに基づく合流制御方法に関する。時系列予測による行動推定により認識精度を向上させる。,デンソー株式会社,G05D 1/02,2019-06-21
ナノセルロース複合ポリマー複合材料,水系分散したセルロースナノファイバーを用いた構造部材の製造方法であって、乾燥工程における収縮を制御することにより均質なバリアフィルムを得る。,旭化成株式会社;日本製紙株式会社,B29C 70/00; B32B 23/00; C08J 5/18,2021-02-01
有機ELディスプレイ,マイクロLEDを画素として用いた発光デバイスの製造方法に関する。蒸着法により高精細な発光素子を得る。,ソニー株式会社;LG Display,H10K 71/00; G09G 3/32; H10K 50/10,2021-03-19
医用画像のセグメンテーションシステム,深層学習モデルによる心電図異常のセグメンテーション方法であって、マルチスケール特徴抽出により少量の教師データでも高い診断精度を達成する。,NVIDIA,A61B 6/03; G06N 3/08,2024-06-12
ナトリウムイオン電池の製造方法,全固体電池における集電体の新規構成に関する。界面抵抗を低減し、充放電効率99.5%以上を達成する。,LG Energy Solution;出光興産株式会社,H01M 50/40; H01M 4/525; H01M 10/0562,2019-04-21
太陽電池セルモジュール,ペロブスカイト太陽電池に関する。ペロブスカイト結晶の配向制御により光電変換効率を向上させ、低コストでの製造を可能にする。,積水化学工業株式会社;理化学研究所,H10K 30/30; H10K 30/50,2021-04-15
自動運転通信システム,LiDARとカメラの融合データに基づく障害物検出方法に関する。時系列予測による行動推定により認識精度を向上させる。,NVIDIA,G08G 1/16; G06V 20/58; G05D 1/02,2019-04-22
正極材料を備えた二次電池,リチウムイオン二次電池の固体電解質に関する。硫化物系固体電解質の粒径制御により、高容量かつ長サイクル寿命を実現する。,LG Energy Solution;村田製作所,C01G 53/00,2020-11-15
AI支援診断支援装置,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いてX線画像から腫瘍を高精度で検出する。転移学習により,国立がん研究センター,G06T 7/00; G06N 3/08,2024-08-16
ペロブスカイト太陽電池セル,太陽電池セルの製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,東京大学;理化学研究所,H10K 30/50; H01L 31/18; H10K 30/30,2024-11-21
車両の速度制御方法,ステレオカメラとカメラの融合データに基づく速度制御方法に関する。注意機構による特徴量統合により認識精度を向上させる。,Waymo;デンソー株式会社,G06N 3/08; G06V 20/58; G08G 1/16,2022-05-21
ナノセルロース複合ポリマー複合材料,セルロースナノファイバーを樹脂組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。熱膨張係数がガラスと同等まで低減される,大日本印刷株式会社;東レ株式会社,C08J 5/18,2024-05-23
高解像度表示パネルの駆動回路,有機エレクトロルミネッセンス発光デバイスに関する。電荷輸送層のバンド構造制御により、高輝度かつ長寿命の表示パネルを実現する。,BOE Technology,G09G 3/32; C09K 11/02,2023-11-12
ナノセルロース複合コーティング材,セルロースナノファイバーを樹脂組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。ヘイズ値が1%以下の高透明性を示す,日本製紙株式会社;大日本印刷株式会社,B29C 70/00; C08L 1/02; C08J 5/04,2020-10-10
タンデム型光電変換素子,太陽電池セルの製造方法であって、スプレー成膜を用いて大面積化と高効率化の両立を実現する。,京都大学;First Solar,H10K 30/30; H01L 31/0725,2020-07-01
ナトリウムイオン電池の製造方法,リチウムイオン二次電池のセパレータに関する。ニッケルリッチ層状酸化物の表面コーティングにより、高容量かつ長サイクル寿命を実現する。,Samsung SDI;トヨタ自動車株式会社,H01M 4/525; H01M 10/0562,2020-01-11
車両の障害物検出方法,ステレオカメラとカメラの融合データに基づく速度制御方法に関する。マルチモーダル融合により認識精度を向上させる。,ホンダ技研工業株式会社,G06V 20/58,2019-10-12
リチウムイオン電池用固体電解質,リチウム硫黄電池における集電体の新規構成に関する。界面抵抗を低減し、低温特性の改善を達成する。,出光興産株式会社,C01G 53/00,2020-12-15
フレキシブル発光デバイス,量子ドットを用いた発光デバイスであって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,ソニー株式会社;サムスン電子,H10K 50/10; G09G 3/32,2023-05-26
ロボットの車線維持システム,超音波センサとカメラの融合データに基づく歩行者予測方法に関する。注意機構による特徴量統合により認識精度を向上させる。,日立Astemo;Mobileye,G06N 3/08; G06V 20/58,2024-12-26
深層学習を用いた腫瘍検出方法,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いてX線画像から網膜病変を高精度で検出する。Attention機構の導入により,NVIDIA;オリンパス株式会社,G06T 7/00; G16H 30/40,2019-03-02
バイオマス由来ポリアミド,バイオマス原料から得られるプラスチックの合成方法に関する。発酵プロセスの最適化により環境負荷の低い材料を提供する。,三菱ケミカル株式会社;帝人株式会社,C08J 11/10; C08G 63/183,2023-02-28
太陽電池セルの製造方法,ペロブスカイト太陽電池セルに関する。パッシベーション層の形成により光電変換効率を向上させ、低コストでの製造を可能にする。,First Solar,H10K 30/30; H01L 31/0725; H01L 31/18,2019-01-06
ロボットの障害物検出システム,自動運転レベル4に対応する制御システムに関する。ミリ波レーダーデータを強化学習で処理し、リアルタイムの速度制御を実現する。,ホンダ技研工業株式会社,G06N 3/08; B60W 60/00,2020-02-04
高効率光電変換素子,光電変換素子の製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,京都大学,H01L 31/18,2024-10-20
太陽電池の製造方法,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,積水化学工業株式会社;京都大学,H10K 30/30; H01L 31/0725; H01L 31/18,2023-04-02
リチウムイオン電池用負極材料,リチウムイオン二次電池の電解質に関する。硫化物系固体電解質の粒径制御により、高容量かつ長サイクル寿命を実現する。,CATL;出光興産株式会社,H01M 10/052,2021-06-28
循環型ポリエステル,廃ポリアミドのケミカルリサイクル方法であって、酵素を用いたグリコリシスにより高純度のモノマーを回収する。,ダイセル;BASF,C08J 11/10,2022-02-12
高効率光電変換素子,太陽電池の製造方法であって、スプレー成膜を用いて大面積化と高効率化の両立を実現する。,パナソニック株式会社;積水化学工業株式会社,H10K 30/50; H01L 31/0725; H10K 30/30,2019-10-20
運転支援通信システム,自動運転レベル5に対応する制御システムに関する。超音波センサデータをトランスフォーマーモデルで処理し、リアルタイムの歩行者予測を実現する。,NVIDIA,G06V 20/58,2019-01-02
高エネルギー密度ナトリウムイオン電池,全固体電池におけるセパレータの新規構成に関する。界面抵抗を低減し、エネルギー密度400Wh/kg超を達成する。,Samsung SDI;TDK株式会社,H01M 10/0562,2023-07-09
フレキシブル光電変換素子,太陽電池の製造方法であって、スロットダイコーティングを用いて大面積化と高効率化の両立を実現する。,理化学研究所;積水化学工業株式会社,H10K 30/50; H10K 30/30,2024-12-21
解重合可能なポリエステルの合成,廃エポキシ樹脂のケミカルリサイクル方法であって、金属触媒を用いたメタノリシスにより高純度のモノマーを回収する。,住友化学株式会社,C08L 67/02; B29B 17/00,2019-11-05
リチウムイオン電池用電解質,リチウムイオン二次電池の集電体に関する。硫化物系固体電解質の粒径制御により、高容量かつ長サイクル寿命を実現する。,出光興産株式会社,H01M 4/525; H01M 10/052,2024-07-17
バイオマス由来高分子材料,バイオマス原料から得られるエポキシ樹脂の合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,住友化学株式会社,C08J 11/10; C08L 67/02; C08G 63/183,2023-08-19
フレキシブル表示装置,有機エレクトロルミネッセンス表示パネルに関する。電荷輸送層のバンド構造制御により、高輝度かつ長寿命の表示装置を実現する。,住友化学株式会社;LG Display,H01L 33/00; H10K 50/10; G09G 3/32,2021-10-20
発光デバイスの製造方法,量子ドットを用いた発光デバイスであって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,サムスン電子;京セラ株式会社,H10K 50/10; H01L 33/00; C09K 11/02,2019-07-08
量子ドット表示装置,マイクロLEDを画素として用いた表示装置の製造方法に関する。蒸着法により高精細な発光デバイスを得る。,サムスン電子,H01L 33/00,2023-08-04
高解像度発光素子の駆動回路,量子ドットを用いた発光デバイスであって、電荷輸送層のバンド構造制御により色再現性に優れた表示を可能にする。,シャープ株式会社,H10K 71/00,2022-01-12
セルロースナノファイバー強化フィルム,セルロースナノファイバーをポリマー複合材料中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。引張強度が従来比50%向上する,旭化成株式会社;大日本印刷株式会社,C08J 5/04; B29C 70/00; D21H 11/18,2020-07-01
修飾セルロースナノファイバーを用いた増粘剤,化学修飾したセルロースナノファイバーを含有する接着剤組成物に関する。ナノファイバーの表面処理によりポリマー複合材料との親和性を向上させ、寸法安定性の向上を実現する。,花王株式会社;大王製紙株式会社,B29C 70/00,2021-09-16
セルロースナノファイバー強化コーティング材,化学修飾したセルロースナノファイバーを含有するコーティング材に関する。ナノファイバーの表面処理によりコーティング材との親和性を向上させ、寸法安定性の向上を実現する。,日本製紙株式会社,C08J 5/18,2024-06-26
太陽電池モジュール,ペロブスカイト太陽電池に関する。界面欠陥の低減により光電変換効率を向上させ、低コストでの製造を可能にする。,カネカ,H10K 30/50; H01L 31/18; H10K 30/30,2022-09-13
太陽電池モジュール,太陽電池の製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,京都大学,H10K 30/30,2024-11-26
機械学習による腫瘍予測方法,医用画像の予測に関する。畳み込みニューラルネットワークを用いてMRI画像から網膜病変を高精度で検出する。データ拡張と半教師あり学習を組み合わせることで,オリンパス株式会社;東京大学,G16H 30/40; G06N 3/08; A61B 5/00,2023-02-08
フレキシブル太陽電池,太陽電池の製造方法であって、スロットダイコーティングを用いて大面積化と高効率化の両立を実現する。,東京大学,H01L 31/0725; H10K 30/50,2024-05-20
AI支援分類装置,内視鏡画像における肺結節の自動診断支援システムに関する。U-Netを採用し、リアルタイム処理を実現する。,オリンパス株式会社;シーメンス,G16H 30/40,2024-11-03
タンデム型光電変換素子,光電変換素子の製造方法であって、スロットダイコーティングを用いて大面積化と高効率化の両立を実現する。,First Solar,H01L 31/18,2024-08-25
量子ドット表示パネル,有機エレクトロルミネッセンスディスプレイに関する。量子ドットのサイズ均一性向上により、高輝度かつ長寿命の発光素子を実現する。,シャープ株式会社;住友化学株式会社,H10K 71/00,2021-01-13
