title,abstract,applicant,ipc,date
CNF分散コーティング材の調製方法,化学修飾したセルロースナノファイバーを含有するフィルムに関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、寸法安定性の向上を実現する。,旭化成株式会社,C08J 5/04; B32B 23/00; C08L 1/02,2024-07-01
電解質を備えた二次電池,リチウムイオン二次電池の集電体に関する。ニッケルリッチ層状酸化物の表面コーティングにより、高容量かつ長サイクル寿命を実現する。,出光興産株式会社;トヨタ自動車株式会社,H01M 10/0562; H01M 10/052; H01M 4/525,2024-01-05
高解像度表示装置の駆動回路,マイクロLEDを画素として用いた表示装置の製造方法に関する。蒸着法により高精細な表示パネルを得る。,京セラ株式会社;JDI,H10K 50/10; C09K 11/02,2024-03-03
高効率太陽電池,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により変換効率30%超を達成する。,東京大学;First Solar,H01L 31/18; H10K 30/50; H10K 30/30,2020-11-21
太陽電池セルモジュール,ペロブスカイト太陽電池セルに関する。パッシベーション層の形成により光電変換効率を向上させ、低コストでの製造を可能にする。,Oxford PV;積水化学工業株式会社,H01L 31/0725,2022-03-21
集電体を備えた二次電池,二次電池用固体電解質の製造方法であって、ゾルゲル法により均質な正極材料を得る方法を提供する。,パナソニック株式会社;TDK株式会社,H01M 50/40,2019-06-19
リチウムイオン電池用負極材料,リチウムイオン二次電池のセパレータに関する。ニッケルリッチ層状酸化物の表面コーティングにより、高容量かつ長サイクル寿命を実現する。,CATL,H01M 10/0562; C01G 53/00; H01M 10/052,2022-08-08
自動運転車両の歩行者予測装置,車両の速度制御装置であって、トランスフォーマーモデルを用いて周囲環境を認識し、安全な走行を支援する。,Mobileye;日産自動車株式会社,G06N 3/08; G06V 20/58,2023-03-16
太陽電池セルモジュール,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により変換効率30%超を達成する。,カネカ,H10K 30/30,2022-06-12
フレキシブル光電変換素子,太陽電池セルの製造方法であって、蒸着法を用いて大面積化と高効率化の両立を実現する。,京都大学,H01L 31/18; H01L 31/0725,2023-10-22
深層学習を用いた骨折検出方法,深層学習モデルによる腫瘍の分類方法であって、転移学習により少量の教師データでも高い診断精度を達成する。,キヤノン株式会社;東京大学,G06N 3/08; G06T 7/00; A61B 5/00,2021-06-27
CNF分散接着剤組成物の調製方法,化学修飾したセルロースナノファイバーを含有するコーティング材に関する。ナノファイバーの表面処理によりフィルムとの親和性を向上させ、高強度化を実現する。,東レ株式会社;花王株式会社,D21H 11/18; B32B 23/00; C08J 5/18,2022-08-22
MRI画像の自動診断支援方法,医用画像の分類に関する。畳み込みニューラルネットワークを用いて内視鏡画像から網膜病変を高精度で検出する。転移学習により,国立がん研究センター,G06N 3/08; A61B 6/03,2020-06-03
超音波画像の自動診断支援方法,医用画像の予測に関する。畳み込みニューラルネットワークを用いて内視鏡画像から腫瘍を高精度で検出する。データ拡張と半教師あり学習を組み合わせることで,東京大学;キヤノン株式会社,G06N 3/08,2020-02-09
リチウムイオン電池用固体電解質,二次電池用電解質の製造方法であって、固相反応により均質な集電体を得る方法を提供する。,Samsung SDI,H01M 4/525; H01M 50/40; H01M 10/052,2024-07-28
マイクロLEDディスプレイ,有機エレクトロルミネッセンス発光デバイスに関する。電荷輸送層のバンド構造制御により、高輝度かつ長寿命の発光デバイスを実現する。,ソニー株式会社,G09G 3/32; H10K 71/00; C09K 11/02,2021-12-03
全固体リチウム硫黄電池,二次電池用固体電解質の製造方法であって、共沈法により均質な固体電解質を得る方法を提供する。,Samsung SDI;パナソニック株式会社,H01M 10/0562; H01M 10/052,2020-06-25
セルロースナノファイバー強化ポリマー複合材料,セルロースナノファイバーを樹脂組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。熱膨張係数がガラスと同等まで低減される,大王製紙株式会社,B29C 70/00; C08L 1/02,2023-04-15
電池用正極材料の改良,全固体電池におけるセパレータの新規構成に関する。界面抵抗を低減し、充放電効率99.5%以上を達成する。,Samsung SDI,H01M 4/525; C01G 53/00,2023-10-17
高効率光電変換素子,ペロブスカイト太陽電池セルに関する。パッシベーション層の形成により光電変換効率を向上させ、低コストでの製造を可能にする。,積水化学工業株式会社,H01L 31/18; H01L 31/0725; H10K 30/30,2020-04-27
ナノセルロース複合フィルム,化学修飾したセルロースナノファイバーを含有する接着剤組成物に関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、高バリア性を実現する。,東レ株式会社,C08J 5/04,2024-07-16
全固体電池の製造方法,二次電池用集電体の製造方法であって、共沈法により均質なセパレータを得る方法を提供する。,Samsung SDI,H01M 50/40; H01M 10/052; H01M 4/525,2022-02-26
自動運転安全システム,自動運転レベル4に対応する通信システムに関する。超音波センサデータを強化学習で処理し、リアルタイムの歩行者予測を実現する。,Mobileye,G08G 1/16,2022-06-06
全固体全固体電池,ナトリウムイオン電池における固体電解質の新規構成に関する。界面抵抗を低減し、高速充電対応を達成する。,CATL,H01M 4/525,2019-02-14
高効率太陽電池セル,光電変換素子の製造方法であって、スプレー成膜を用いて大面積化と高効率化の両立を実現する。,東京大学;パナソニック株式会社,H10K 30/50; H01L 31/0725; H01L 31/18,2021-11-26
超音波画像の自動自動解析方法,医用画像の自動解析に関する。畳み込みニューラルネットワークを用いてMRI画像から腫瘍を高精度で検出する。マルチスケール特徴抽出により,富士フイルム株式会社;GEヘルスケア,G16H 30/40; A61B 5/00; A61B 6/03,2021-09-18
LiDARを用いた物体認識装置,ミリ波レーダーとカメラの融合データに基づく合流制御方法に関する。時系列予測による行動推定により認識精度を向上させる。,NVIDIA,G08G 1/16; G05D 1/02,2022-02-25
解重合可能なポリアミドの合成,廃ポリエステルのケミカルリサイクル方法であって、イオン液体を用いたグリコリシスにより高純度のモノマーを回収する。,BASF,C08G 63/183,2020-01-25
バイオマス由来プラスチック,バイオマス原料から得られる高分子材料の合成方法に関する。発酵プロセスの最適化により環境負荷の低い材料を提供する。,ダイセル,B29B 17/00; C12P 7/62; C08G 63/183,2023-06-09
修飾セルロースナノファイバーを用いたバリアフィルム,化学修飾したセルロースナノファイバーを含有する樹脂組成物に関する。ナノファイバーの表面処理によりポリマー複合材料との親和性を向上させ、軽量化を実現する。,花王株式会社,B29C 70/00; D21H 11/18,2023-10-10
自動運転車両の障害物検出装置,LiDARとカメラの融合データに基づく速度制御方法に関する。マルチモーダル融合により認識精度を向上させる。,NVIDIA;デンソー株式会社,G08G 1/16; G06N 3/08,2022-05-06
ロボットの合流制御システム,自動運転レベル3に対応するセンシングシステムに関する。LiDARデータをディープラーニングで処理し、リアルタイムの合流制御を実現する。,トヨタ自動車株式会社,G08G 1/16; B60W 60/00,2020-03-28
CNF含有フィルムの製造方法,化学修飾したセルロースナノファイバーを含有するフィルムに関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、寸法安定性の向上を実現する。,日本製紙株式会社;花王株式会社,C08L 1/02,2021-01-19
医用画像の予測システム,超音波画像における骨折の自動診断支援システムに関する。U-Netを採用し、リアルタイム処理を実現する。,東京大学;シーメンス,A61B 6/03,2023-11-06
ポリアミドのケミカルリサイクル方法,解重合可能なポリエステルに関する。分子鎖中に動的共有結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型プラスチックを実現する。,東洋紡株式会社,C08L 67/02,2024-06-03
ロボットの経路計画システム,ステレオカメラとカメラの融合データに基づく経路計画方法に関する。マルチモーダル融合により認識精度を向上させる。,Mobileye,G06V 20/58; B60W 60/00; G05D 1/02,2019-02-11
ナノセルロース複合ポリマー複合材料,化学修飾したセルロースナノファイバーを含有する接着剤組成物に関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、高バリア性を実現する。,大日本印刷株式会社,C08L 1/02; C08J 5/04; B32B 23/00,2019-02-24
修飾セルロースナノファイバーを用いた構造部材,セルロースナノファイバーを接着剤組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。酸素透過度が10cc/m2/day以下となる,旭化成株式会社,C08L 1/02; C08J 5/18,2021-11-27
タンデム型太陽電池セル,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により低照度での発電効率改善を達成する。,First Solar,H01L 31/0725,2022-04-17
自動運転制御システム,ステレオカメラとカメラの融合データに基づく歩行者予測方法に関する。注意機構による特徴量統合により認識精度を向上させる。,Waymo;NVIDIA,B60W 60/00,2021-06-27
医用画像のセグメンテーションシステム,深層学習モデルによる骨折のセグメンテーション方法であって、Attention機構の導入により少量の教師データでも高い診断精度を達成する。,NVIDIA;国立がん研究センター,A61B 5/00; G06N 3/08,2022-03-06
リチウムイオン電池用固体電解質,二次電池用電解質の製造方法であって、固相反応により均質な負極材料を得る方法を提供する。,村田製作所,H01M 10/052; H01M 50/40,2022-10-01
運転支援制御システム,ステレオカメラとカメラの融合データに基づく障害物検出方法に関する。注意機構による特徴量統合により認識精度を向上させる。,デンソー株式会社,G06V 20/58,2021-12-05
リチウムイオン電池用電解質,全固体電池における固体電解質の新規構成に関する。界面抵抗を低減し、低温特性の改善を達成する。,LG Energy Solution;出光興産株式会社,C01G 53/00,2019-06-14
機械学習による心電図異常予測方法,深層学習モデルによる網膜病変の診断支援方法であって、データ拡張と半教師あり学習を組み合わせることで少量の教師データでも高い診断精度を達成する。,国立がん研究センター;東京大学,A61B 5/00; G06N 3/08; G06T 7/00,2019-03-11
高解像度表示パネルの駆動回路,マイクロLEDを画素として用いた表示パネルの製造方法に関する。蒸着法により高精細なディスプレイを得る。,BOE Technology;住友化学株式会社,G09G 3/32; H10K 71/00,2021-07-06
ペロブスカイト光電変換素子,光電変換素子の製造方法であって、スロットダイコーティングを用いて大面積化と高効率化の両立を実現する。,東京大学,H01L 31/0725; H01L 31/18; H10K 30/30,2022-08-13
セルロースナノファイバー強化接着剤組成物,化学修飾したセルロースナノファイバーを含有する接着剤組成物に関する。ナノファイバーの表面処理により樹脂組成物との親和性を向上させ、軽量化を実現する。,大王製紙株式会社,D21H 11/18,2019-11-28
リチウムイオン電池用電解質,リチウムイオン二次電池の電解質に関する。硫化物系固体電解質の粒径制御により、高容量かつ長サイクル寿命を実現する。,LG Energy Solution;トヨタ自動車株式会社,C01G 53/00,2022-10-22
ポリアミドのケミカルリサイクル方法,廃ポリアミドのケミカルリサイクル方法であって、有機触媒を用いた酵素分解により高純度のモノマーを回収する。,クラレ,C08L 67/02; B29B 17/00; C08G 63/183,2020-09-28
AI支援分類装置,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いてMRI画像から肺結節を高精度で検出する。マルチスケール特徴抽出により,NVIDIA,G06N 3/08; G16H 30/40; A61B 5/00,2023-08-07
車両の歩行者予測方法,ステレオカメラとカメラの融合データに基づく歩行者予測方法に関する。点群データの意味分割により認識精度を向上させる。,日産自動車株式会社;トヨタ自動車株式会社,G05D 1/02; G06N 3/08; G06V 20/58,2020-01-02
プラスチックのケミカルリサイクル方法,バイオマス原料から得られるポリアミドの合成方法に関する。発酵プロセスの最適化により環境負荷の低い材料を提供する。,BASF,C12P 7/62; B29B 17/00; C08G 63/183,2022-12-06
CNF分散ポリマー複合材料の調製方法,水系分散したセルロースナノファイバーを用いた断熱材の製造方法であって、乾燥工程における収縮を制御することにより均質な断熱材を得る。,王子ホールディングス株式会社;花王株式会社,C08J 5/04; C08J 5/18,2024-04-10
リチウムイオン電池用負極材料,ナトリウムイオン電池における集電体の新規構成に関する。界面抵抗を低減し、低温特性の改善を達成する。,CATL;村田製作所,H01M 50/40; H01M 4/525; H01M 10/0562,2019-11-21
CNF分散ポリマー複合材料の調製方法,化学修飾したセルロースナノファイバーを含有するフィルムに関する。ナノファイバーの表面処理によりフィルムとの親和性を向上させ、軽量化を実現する。,大日本印刷株式会社,C08J 5/18; B32B 23/00; C08L 1/02,2019-11-14
全固体電池の製造方法,二次電池用正極材料の製造方法であって、ゾルゲル法により均質な電解質を得る方法を提供する。,TDK株式会社;村田製作所,H01M 50/40; H01M 10/052,2019-03-28
全固体電池の製造方法,ナトリウムイオン電池における負極材料の新規構成に関する。界面抵抗を低減し、高速充電対応を達成する。,トヨタ自動車株式会社;パナソニック株式会社,H01M 10/052,2023-01-22
自動運転センシングシステム,車両の経路計画装置であって、ディープラーニングを用いて周囲環境を認識し、安全な走行を支援する。,日立Astemo,G08G 1/16; G06V 20/58,2022-03-21
AI支援診断支援装置,深層学習モデルによる肺結節の自動解析方法であって、データ拡張と半教師あり学習を組み合わせることで少量の教師データでも高い診断精度を達成する。,シーメンス;GEヘルスケア,G06T 7/00; G06N 3/08; A61B 6/03,2021-01-25
車両の障害物検出方法,自動運転レベル5に対応する安全システムに関する。LiDARデータを強化学習で処理し、リアルタイムの車線維持を実現する。,トヨタ自動車株式会社,G06V 20/58,2024-08-26
廃プラスチックの再資源化方法,バイオマス原料から得られるポリアミドの合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,クラレ;住友化学株式会社,B29B 17/00,2021-10-24
量子ドット発光素子,量子ドットを用いた発光素子であって、電荷輸送層のバンド構造制御により色再現性に優れた表示を可能にする。,JDI;サムスン電子,C09K 11/02,2023-12-06
医用画像の診断支援システム,深層学習モデルによる骨折の予測方法であって、データ拡張と半教師あり学習を組み合わせることで少量の教師データでも高い診断精度を達成する。,シーメンス,G06T 7/00; G06N 3/08,2023-04-24
修飾セルロースナノファイバーを用いた断熱材,セルロースナノファイバーをコーティング材中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。熱膨張係数がガラスと同等まで低減される,大日本印刷株式会社,B32B 23/00; C08J 5/04,2022-06-11
運転支援センシングシステム,LiDARとカメラの融合データに基づく速度制御方法に関する。マルチモーダル融合により認識精度を向上させる。,日立Astemo,G05D 1/02; G06V 20/58; B60W 60/00,2021-03-21
解重合可能なポリアミドの合成,解重合可能なポリアミドに関する。分子鎖中にエステル交換部位を導入することで、温和な条件下でモノマーへの分解が可能な循環型高分子材料を実現する。,住友化学株式会社;BASF,B29B 17/00; C08J 11/10; C12P 7/62,2019-08-15
循環型ポリエステル,バイオマス原料から得られるポリアミドの合成方法に関する。発酵プロセスの最適化により環境負荷の低い材料を提供する。,三菱ケミカル株式会社,C08J 11/10; B29B 17/00,2022-01-03
全固体リチウム硫黄電池,リチウム硫黄電池における正極材料の新規構成に関する。界面抵抗を低減し、高速充電対応を達成する。,LG Energy Solution;トヨタ自動車株式会社,H01M 4/525; H01M 10/0562; H01M 50/40,2022-11-26
フレキシブル光電変換素子,ペロブスカイト光電変換素子に関する。ペロブスカイト結晶の配向制御により光電変換効率を向上させ、低コストでの製造を可能にする。,パナソニック株式会社,H01L 31/18; H10K 30/50; H10K 30/30,2019-06-27
セルロースナノファイバー強化ポリマー複合材料,水系分散したセルロースナノファイバーを用いた断熱材の製造方法であって、乾燥工程における収縮を制御することにより均質な構造部材を得る。,大王製紙株式会社;日本製紙株式会社,C08L 1/02; B29C 70/00,2022-02-12
ロボットの合流制御システム,ステレオカメラとカメラの融合データに基づく歩行者予測方法に関する。マルチモーダル融合により認識精度を向上させる。,トヨタ自動車株式会社,G08G 1/16,2020-09-24
有機EL発光デバイス,量子ドットを用いたディスプレイであって、発光層の膜厚最適化により色再現性に優れた表示を可能にする。,JDI;京セラ株式会社,H10K 71/00,2023-02-02
マイクロLED発光素子,有機エレクトロルミネッセンス発光デバイスに関する。量子ドットのサイズ均一性向上により、高輝度かつ長寿命の表示装置を実現する。,JDI,C09K 11/02; G09G 3/32,2021-09-01
光電変換素子モジュール,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により変換効率30%超を達成する。,Oxford PV,H10K 30/50; H01L 31/0725,2022-08-26
機械学習による骨折予測方法,深層学習モデルによる腫瘍の予測方法であって、データ拡張と半教師あり学習を組み合わせることで少量の教師データでも高い診断精度を達成する。,富士フイルム株式会社,G16H 30/40; A61B 6/03; A61B 5/00,2022-07-07
医療診断支援システム,X線画像における心電図異常の自動分類システムに関する。Vision Transformerを採用し、リアルタイム処理を実現する。,東京大学;GEヘルスケア,G06N 3/08; G16H 30/40; A61B 5/00,2020-10-18
高分子材料のケミカルリサイクル方法,解重合可能な高分子材料に関する。分子鎖中にエステル交換部位を導入することで、温和な条件下でモノマーへの分解が可能な循環型高分子材料を実現する。,クラレ,C08J 11/10; C12P 7/62,2021-09-26
リチウムイオン電池の製造方法,全固体電池における集電体の新規構成に関する。界面抵抗を低減し、高速充電対応を達成する。,Samsung SDI,H01M 50/40,2022-04-28
太陽電池セルモジュール,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,東京大学,H10K 30/30; H01L 31/0725,2019-01-10
セルロースナノファイバー強化コーティング材,水系分散したセルロースナノファイバーを用いた透明フィルムの製造方法であって、乾燥工程における収縮を制御することにより均質な透明フィルムを得る。,日本製紙株式会社,C08J 5/04,2022-08-16
ポリアミドのケミカルリサイクル方法,バイオマス原料から得られるポリアミドの合成方法に関する。プロセスのエネルギー効率改善により環境負荷の低い材料を提供する。,住友化学株式会社;東洋紡株式会社,C08L 67/02,2023-01-19
全固体ナトリウムイオン電池,二次電池用セパレータの製造方法であって、ゾルゲル法により均質な正極材料を得る方法を提供する。,CATL,C01G 53/00,2023-06-20
プラスチックのケミカルリサイクル方法,バイオマス原料から得られる高分子材料の合成方法に関する。プロセスのエネルギー効率改善により環境負荷の低い材料を提供する。,東洋紡株式会社;三菱ケミカル株式会社,C08J 11/10; B29B 17/00,2021-08-02
表示パネルの製造方法,量子ドットを用いた発光素子であって、インクジェット印刷による精密パターニングにより色再現性に優れた表示を可能にする。,JDI;BOE Technology,G09G 3/32; H10K 71/00; C09K 11/02,2022-05-27
解重合可能なエポキシ樹脂の合成,バイオマス原料から得られるエポキシ樹脂の合成方法に関する。バイオマスの前処理技術の改良により環境負荷の低い材料を提供する。,住友化学株式会社;三菱ケミカル株式会社,C12P 7/62,2021-06-13
循環型プラスチック,廃プラスチックのケミカルリサイクル方法であって、酵素を用いたグリコリシスにより高純度のモノマーを回収する。,東洋紡株式会社,C12P 7/62,2020-12-01
高エネルギー密度リチウムイオン電池,リチウムイオン二次電池の固体電解質に関する。ドライプロセスによる電極形成により、高容量かつ長サイクル寿命を実現する。,出光興産株式会社;パナソニック株式会社,C01G 53/00,2024-08-02
ペロブスカイト光電変換素子,ペロブスカイト太陽電池セルに関する。組成勾配構造の導入により光電変換効率を向上させ、低コストでの製造を可能にする。,First Solar;カネカ,H10K 30/50; H01L 31/18; H01L 31/0725,2023-12-02
全固体リチウム硫黄電池,全固体電池におけるセパレータの新規構成に関する。界面抵抗を低減し、充放電効率99.5%以上を達成する。,TDK株式会社,H01M 10/052; H01M 10/0562; H01M 50/40,2019-09-14
全固体ナトリウムイオン電池,リチウム硫黄電池における正極材料の新規構成に関する。界面抵抗を低減し、エネルギー密度400Wh/kg超を達成する。,トヨタ自動車株式会社;CATL,H01M 4/525; C01G 53/00; H01M 10/0562,2023-04-13
CNF分散接着剤組成物の調製方法,セルロースナノファイバーを接着剤組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。引張強度が従来比50%向上する,東レ株式会社,B29C 70/00; C08L 1/02,2020-04-06
ステレオカメラを用いた物体認識装置,超音波センサとカメラの融合データに基づく合流制御方法に関する。マルチモーダル融合により認識精度を向上させる。,日産自動車株式会社;日立Astemo,G06N 3/08; G06V 20/58; B60W 60/00,2019-05-03
超音波センサを用いた物体認識装置,ステレオカメラとカメラの融合データに基づく経路計画方法に関する。注意機構による特徴量統合により認識精度を向上させる。,Waymo,G08G 1/16; G06V 20/58; G06N 3/08,2023-01-19
マイクロLED発光デバイス,有機エレクトロルミネッセンス発光素子に関する。量子ドットのサイズ均一性向上により、高輝度かつ長寿命の表示装置を実現する。,住友化学株式会社;BOE Technology,H01L 33/00; H10K 71/00; C09K 11/02,2024-10-06
廃高分子材料の再資源化方法,廃プラスチックのケミカルリサイクル方法であって、イオン液体を用いたメタノリシスにより高純度のモノマーを回収する。,東洋紡株式会社;ダイセル,C08L 67/02; C08G 63/183; C12P 7/62,2024-02-15
タンデム型太陽電池,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,パナソニック株式会社,H10K 30/30; H01L 31/0725; H01L 31/18,2021-08-04
CNF含有コーティング材の製造方法,化学修飾したセルロースナノファイバーを含有する接着剤組成物に関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、高強度化を実現する。,花王株式会社;王子ホールディングス株式会社,B32B 23/00; C08J 5/18,2022-09-24
リチウムイオン電池用正極材料,リチウムイオン二次電池の集電体に関する。シリコン系負極の膨張抑制構造により、高容量かつ長サイクル寿命を実現する。,CATL;出光興産株式会社,C01G 53/00; H01M 50/40; H01M 10/0562,2024-12-05
フレキシブル太陽電池セル,ペロブスカイト太陽電池セルに関する。ペロブスカイト結晶の配向制御により光電変換効率を向上させ、低コストでの製造を可能にする。,Oxford PV;東京大学,H10K 30/30,2020-04-23
ナノセルロース複合接着剤組成物,化学修飾したセルロースナノファイバーを含有する樹脂組成物に関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、寸法安定性の向上を実現する。,旭化成株式会社,D21H 11/18,2021-11-20
AI支援自動解析装置,医用画像の自動解析に関する。畳み込みニューラルネットワークを用いて内視鏡画像から肺結節を高精度で検出する。マルチスケール特徴抽出により,キヤノン株式会社;GEヘルスケア,G06T 7/00,2019-11-13
循環型ポリアミド,解重合可能なプラスチックに関する。分子鎖中に動的共有結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型ポリエステルを実現する。,クラレ;住友化学株式会社,C08J 11/10; B29B 17/00,2023-09-13
リサイクル可能なプラスチック,解重合可能なエポキシ樹脂に関する。分子鎖中に動的共有結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型ポリエステルを実現する。,三菱ケミカル株式会社,C08L 67/02,2020-03-22
高エネルギー密度ナトリウムイオン電池,リチウムイオン二次電池の固体電解質に関する。ニッケルリッチ層状酸化物の表面コーティングにより、高容量かつ長サイクル寿命を実現する。,トヨタ自動車株式会社;LG Energy Solution,H01M 4/525; H01M 50/40; C01G 53/00,2024-05-01
有機EL発光デバイス,有機エレクトロルミネッセンス発光素子に関する。発光層の膜厚最適化により、高輝度かつ長寿命のディスプレイを実現する。,JDI;LG Display,H01L 33/00,2020-07-19
高効率太陽電池,太陽電池セルの製造方法であって、スロットダイコーティングを用いて大面積化と高効率化の両立を実現する。,理化学研究所;First Solar,H10K 30/30; H10K 30/50,2019-02-27
深層学習を用いた肺結節検出方法,MRI画像における肺結節の自動自動解析システムに関する。ResNetを採用し、リアルタイム処理を実現する。,GEヘルスケア,G06N 3/08,2020-02-02
修飾セルロースナノファイバーを用いた構造部材,化学修飾したセルロースナノファイバーを含有するポリマー複合材料に関する。ナノファイバーの表面処理によりポリマー複合材料との親和性を向上させ、高強度化を実現する。,日本製紙株式会社;大日本印刷株式会社,B32B 23/00,2023-11-13
セルロースナノファイバー構造部材,水系分散したセルロースナノファイバーを用いた増粘剤の製造方法であって、乾燥工程における収縮を制御することにより均質な断熱材を得る。,日本製紙株式会社;大日本印刷株式会社,C08J 5/18,2024-06-20
ポリアミドのケミカルリサイクル方法,廃プラスチックのケミカルリサイクル方法であって、有機触媒を用いたメタノリシスにより高純度のモノマーを回収する。,帝人株式会社;クラレ,C08J 11/10; C12P 7/62; B29B 17/00,2020-10-27
ペロブスカイト太陽電池セル,太陽電池セルの製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,理化学研究所;カネカ,H01L 31/18; H10K 30/30; H10K 30/50,2023-05-28
医用画像の分類システム,超音波画像における骨折の自動セグメンテーションシステムに関する。YOLOを採用し、リアルタイム処理を実現する。,キヤノン株式会社;東京大学,G16H 30/40,2023-01-17
解重合可能なエポキシ樹脂の合成,廃ポリアミドのケミカルリサイクル方法であって、イオン液体を用いたメタノリシスにより高純度のモノマーを回収する。,帝人株式会社,C08L 67/02; C08J 11/10,2021-04-27
全固体電池の製造方法,リチウムイオン二次電池の負極材料に関する。ドライプロセスによる電極形成により、高容量かつ長サイクル寿命を実現する。,村田製作所;Samsung SDI,H01M 4/525; H01M 50/40,2021-01-19
ポリアミドのケミカルリサイクル方法,廃ポリアミドのケミカルリサイクル方法であって、酵素を用いた酵素分解により高純度のモノマーを回収する。,BASF,C12P 7/62; C08J 11/10; B29B 17/00,2021-02-02
フレキシブル表示装置,有機エレクトロルミネッセンス発光素子に関する。電荷輸送層のバンド構造制御により、高輝度かつ長寿命の表示パネルを実現する。,BOE Technology,H10K 50/10; H10K 71/00,2020-12-04
リサイクル可能なエポキシ樹脂,廃高分子材料のケミカルリサイクル方法であって、酵素を用いたグリコリシスにより高純度のモノマーを回収する。,東洋紡株式会社;旭化成株式会社,C08J 11/10; C08G 63/183; C08L 67/02,2024-12-22
高エネルギー密度リチウム硫黄電池,二次電池用正極材料の製造方法であって、共沈法により均質な電解質を得る方法を提供する。,パナソニック株式会社;村田製作所,H01M 10/052; H01M 4/525,2021-06-24
マイクロLED表示パネル,有機エレクトロルミネッセンスディスプレイに関する。電荷輸送層のバンド構造制御により、高輝度かつ長寿命のディスプレイを実現する。,京セラ株式会社,H10K 50/10; G09G 3/32,2023-08-19
機械学習による網膜病変予測方法,内視鏡画像における心電図異常の自動診断支援システムに関する。ResNetを採用し、リアルタイム処理を実現する。,富士フイルム株式会社,G06N 3/08; G16H 30/40,2024-10-03
全固体ナトリウムイオン電池,リチウム硫黄電池における正極材料の新規構成に関する。界面抵抗を低減し、高速充電対応を達成する。,Samsung SDI;CATL,H01M 10/052; H01M 4/525,2019-12-06
医用画像の診断支援システム,深層学習モデルによる肺結節の診断支援方法であって、Attention機構の導入により少量の教師データでも高い診断精度を達成する。,オリンパス株式会社;国立がん研究センター,A61B 5/00; G16H 30/40; A61B 6/03,2021-05-18
医療診断支援プログラム,医用画像の予測に関する。畳み込みニューラルネットワークを用いて超音波画像から心電図異常を高精度で検出する。Attention機構の導入により,東京大学;GEヘルスケア,A61B 6/03; G06T 7/00; A61B 5/00,2021-06-14
